Reviewed_Status,Most_Recent_Status,Source,Net_Yield,IRR
Reviewed,Available,Opendoor,12.74,19.53
 Closed,Cancelled, MLS,7.47,8.9
Offered,Available,Opendoor,15.59,17.41
Neww,Cancel,M.L.S.,18.48,16.95
Reviewed,Pending,Bulk,11.5,11.16
Reviewed,Close,M.L.S.,2.46,22.81
 Closed,Pending,Opendoor,8.08,25.36
New,Close,Broker,13.34,24.05
Neww,Kick,M.L.S.,10.37,13.33
Offered,Close,M L S,2.05,6.86
 Closed,Pending,Broker,11.68,12.5
Offered,Available,Bulk,7.26,24.77
New,Pending, MLS,7.86,26.21
Neww,Always Kick, MLS,11.9,21.81
Neww,Pending,Internal,17.01,15.92
 Closed,Closed,Bulk,16.75,15.95
Offered,Cancelled,M.L.S.,7.37,19.2
Cancelled,Cancelled, MLS,3.38,21.99
Accepted Offer,Pending,Auction.com,14.9,29.53
Offered,Close,M.L.S.,18.95,24.78
Accepted Offer,Kick,M L S,8.55,25.98
Reviewed,Cancel,Auction.com,6.78,23.49
Accepted Offer,Closed,Broker,10.87,26.23
Accepted Offer,Close,Internal,18.52,13.24
 Closed,Cancel,Internal,4.52,15.62
 Closed, Close ,Internal,12.66,29.93
Neww,Close,Internal,15.58,19.47
 Closed,Cancel,Broker,17.8,5.99
 Closed,Kick,M L S,11.8,11.4
Offered,Closed,Opendoor,17.53,5.0
Offered,Close,Internal,12.07,14.61
Offered,Pending,M L S,19.96,14.52
Reviewed,Pending,M L S,5.82,6.6
Closed,Available,Bulk,12.81,28.13
Accepted Offer,Pending,Broker,19.16,8.12
Cancelled,Cancelled,M.L.S.,12.62,13.77
 Closed,Close,M.L.S.,18.2,24.23
Neww,Pending, MLS,13.84,23.88
Neww, Close ,Bulk,16.29,7.84
Cancelled,Cancelled,Auction.com,4.57,27.78
Closed,Available,Bulk,7.06,16.28
Neww,Cancelled,Internal,6.7,6.03
New,Cancelled,M.L.S.,9.5,13.46
Closed,Close,Opendoor,10.29,12.35
Closed,Pend,Auction.com,2.62,9.62
 Closed,Pending, MLS,17.25,10.73
Cancelled,Kick,Broker,10.08,25.25
New,Available,Bulk,8.11,9.04
Neww,Pending,M.L.S.,14.69,21.92
Offered,Cancel,Opendoor,2.24,24.95
 Closed,Always Kick,Internal,16.02,26.24
New,Always Kick,Internal,2.65,21.41
Neww,Kick,M.L.S.,5.8100000000000005,11.76
Neww,Pending, MLS,16.42,28.49
Neww,Always Kick,Opendoor,12.09,11.0
Offered,Cancelled,Broker,6.86,19.84
 Closed,Pending,Opendoor,6.38,26.75
Offered,Pend,M.L.S.,13.32,17.46
New,Pending,Broker,16.67,25.98
 Closed,Closed,Broker,4.8,15.47
 Closed,Pending,Auction.com,18.57,6.72
Cancelled,Kick,Auction.com,12.28,16.56
Cancelled,Closed,M L S,15.32,6.34
Reviewed,Always Kick,Bulk,10.87,8.59
New,Closed,Internal,4.94,23.56
Cancelled,Close,M.L.S.,10.42,15.85
 Closed,Closed,Internal,12.02,6.77
Neww,Available,Broker,15.09,8.89
Cancelled,Cancel,M.L.S.,4.87,5.34
New, Close ,Auction.com,11.57,27.88
 Closed,Available,M.L.S.,10.64,26.9
Closed,Always Kick,Broker,13.94,13.81
Accepted Offer,Pending,Bulk,15.25,18.93
 Closed,Cancel,Internal,6.85,17.55
Cancelled,Cancelled,M L S,9.19,26.2
Reviewed,Available,Bulk,18.01,10.19
Reviewed,Always Kick,Opendoor,12.12,13.54
Cancelled,Pending,Auction.com,8.68,29.23
 Closed,Available,Auction.com,15.11,14.39
Accepted Offer,Pending,Internal,7.64,19.33
Closed,Kick,Bulk,3.86,12.62
 Closed,Close,M L S,13.45,6.12
New,Cancelled, MLS,18.34,28.56
 Closed,Pending,Opendoor,2.4,6.48
 Closed, Close , MLS,15.62,20.77
Neww,Closed,Internal,16.72,14.43
 Closed,Pending,Opendoor,12.91,23.19
 Closed,Close,Auction.com,4.32,6.13
 Closed,Pending,M L S,2.7,29.27
Neww,Close,Internal,19.01,12.04
Reviewed,Pending,Auction.com,2.79,20.09
 Closed,Cancelled, MLS,12.08,15.47
 Closed,Closed,M.L.S.,5.75,8.45
 Closed,Closed,Internal,10.97,11.37
 Closed,Pend,M.L.S.,17.38,12.06
Accepted Offer,Available,Internal,12.34,26.87
 Closed,Pend,Broker,10.89,10.07
Closed,Cancelled, MLS,13.56,28.25
Cancelled,Cancelled,M.L.S.,4.97,24.09
Reviewed,Pending,M.L.S.,14.27,14.78
Accepted Offer,Always Kick,Opendoor,16.0,7.82
 Closed,Available,M L S,2.31,5.33
 Closed, Close ,Auction.com,14.16,23.24
Offered,Cancel,Broker,6.44,27.61
Accepted Offer,Pending,Broker,7.01,18.11
 Closed,Pend,Bulk,14.48,7.94
Neww,Kick,Bulk,13.35,25.89
Offered, Close ,M L S,11.51,8.65
Closed,Close,Internal,12.6,15.75
 Closed,Available,M.L.S.,7.0,13.97
 Closed,Pending,Auction.com,12.85,27.47
Closed,Available,Auction.com,2.51,11.67
Cancelled,Pending,Internal,19.81,9.08
Offered,Close,Broker,18.86,14.96
New,Cancel,Opendoor,16.51,11.38
Cancelled,Cancel,M L S,14.31,14.35
Neww,Pending,Broker,4.55,10.57
 Closed,Always Kick,Broker,16.92,25.14
 Closed,Cancel,M L S,6.26,29.78
 Closed,Available,M L S,9.83,29.63
Closed,Pending,Bulk,2.34,11.84
 Closed,Pending, MLS,18.37,22.39
Accepted Offer,Available,Opendoor,3.87,16.26
Offered,Available, MLS,4.05,27.13
Accepted Offer,Pend, MLS,6.29,28.72
Accepted Offer,Always Kick, MLS,4.7,20.41
 Closed,Pend,Broker,7.57,11.34
Offered, Close ,Broker,10.11,24.39
 Closed,Available,M L S,2.52,15.01
New,Cancelled,M.L.S.,2.65,22.02
Offered,Close,M.L.S.,11.85,16.47
Accepted Offer,Pend,Auction.com,6.93,24.29
New,Close, MLS,6.78,29.22
Cancelled,Pending,Opendoor,7.14,21.38
Cancelled,Closed,M.L.S.,10.01,10.15
New,Cancel, MLS,16.5,16.77
Cancelled,Available,M.L.S.,4.07,11.07
Offered,Cancelled,Broker,15.14,18.64
Reviewed,Close,Internal,16.78,25.84
Closed,Close,Auction.com,19.53,11.52
 Closed,Available,Auction.com,18.73,13.63
Neww,Closed,Bulk,18.33,27.57
Closed,Available,M.L.S.,10.27,23.69
Reviewed,Cancelled,Auction.com,9.79,22.67
New,Pending,M.L.S.,14.85,8.63
Neww,Available,M.L.S.,17.99,20.23
 Closed,Closed,Bulk,12.43,13.56
Offered,Closed,Broker,14.03,8.08
New,Pending,Bulk,17.63,25.49
Neww,Cancelled,Broker,13.64,25.28
Accepted Offer,Pend,M L S,13.86,10.12
 Closed,Available,M.L.S.,9.72,5.15
Neww,Kick,Broker,3.15,29.83
Accepted Offer,Always Kick,Opendoor,14.74,12.35
Accepted Offer,Pend,Broker,19.04,7.65
Cancelled,Pend,Auction.com,18.11,17.33
New, Close ,Broker,5.62,24.18
New,Pending,M L S,14.32,21.02
Accepted Offer,Close,Auction.com,7.42,12.77
 Closed,Cancelled,M L S,9.61,20.03
 Closed,Pending,Opendoor,5.07,14.13
 Closed,Pend,M.L.S.,3.91,15.29
Closed,Cancel, MLS,2.02,17.43
Offered,Closed, MLS,2.62,20.17
Closed,Close, MLS,19.93,8.48
New,Available, MLS,8.78,6.31
Neww,Closed,Internal,13.71,13.9
Cancelled,Kick,Bulk,19.32,6.78
New,Pending,Broker,4.02,22.28
New,Pend, MLS,10.2,23.35
New,Pend,Bulk,7.34,6.54
Cancelled,Always Kick,Internal,16.89,12.6
Reviewed,Close,Broker,2.93,29.34
 Closed,Close,Auction.com,18.47,19.47
 Closed,Cancel,Auction.com,6.62,18.32
 Closed,Cancelled, MLS,15.78,19.46
Cancelled,Always Kick,Auction.com,7.28,26.53
 Closed,Closed,Opendoor,11.32,21.7
 Closed,Pending,Internal,15.78,7.43
Closed,Pending,M.L.S.,10.11,10.42
Closed,Pending,Opendoor,19.15,9.58
 Closed,Cancelled,Bulk,15.01,24.19
 Closed,Always Kick,M.L.S.,9.62,6.33
Accepted Offer,Always Kick,M.L.S.,4.91,7.89
 Closed,Closed,M.L.S.,10.82,9.86
 Closed, Close ,M.L.S.,2.52,28.68
Neww,Pend,Bulk,15.89,27.13
Cancelled, Close ,Opendoor,13.97,8.53
Offered,Closed,Broker,10.55,9.44
Accepted Offer,Closed,Opendoor,4.49,29.29
Offered, Close ,Bulk,5.84,26.32
Cancelled,Pending,Opendoor,5.16,25.5
Accepted Offer,Kick,Broker,7.51,27.36
Closed,Cancel,M L S,15.93,7.53
New,Pending,Auction.com,8.14,13.76
 Closed,Pend,Opendoor,7.41,21.78
 Closed,Available,Broker,14.66,18.63
 Closed,Kick,Auction.com,18.72,5.18
 Closed, Close ,Bulk,2.52,22.06
Accepted Offer,Pending,M L S,17.88,27.91
Neww,Pend,Internal,12.1,16.67
Accepted Offer,Available,M L S,13.36,16.22
Offered,Pending,Internal,6.5,8.39
 Closed,Available,M.L.S.,3.81,29.05
Closed,Cancelled,Broker,6.75,20.56
Cancelled,Pending,Bulk,14.82,15.79
Closed,Cancel,Auction.com,17.16,7.03
 Closed,Always Kick,Internal,2.7199999999999998,20.61
Accepted Offer,Cancel,Opendoor,10.37,7.77
Reviewed,Closed,M.L.S.,17.6,5.65
New,Always Kick,Broker,19.66,11.71
 Closed,Available,Broker,13.7,19.68
Accepted Offer,Pending, MLS,15.47,25.78
Closed,Pending, MLS,19.8,21.58
Reviewed,Pending,M.L.S.,15.03,26.45
Reviewed,Close,Opendoor,10.31,24.44
Neww,Cancel,M.L.S.,2.35,7.02
 Closed,Pend,Bulk,17.06,15.32
Closed,Pending,M.L.S.,2.0,13.29
Closed,Available,Auction.com,16.26,21.99
 Closed,Cancelled,Bulk,9.45,24.07
Accepted Offer,Always Kick,Auction.com,5.62,26.73
 Closed,Pending,M.L.S.,4.0,19.36
Closed,Pending,Auction.com,6.62,11.46
Offered, Close ,Internal,14.93,7.57
 Closed,Always Kick,Bulk,6.02,9.56
 Closed,Kick,Opendoor,7.39,11.11
Closed,Pend,M L S,6.36,21.5
 Closed,Always Kick,Auction.com,2.12,28.39
Cancelled,Always Kick,Opendoor,18.75,8.74
Neww,Pending,M L S,2.32,9.83
 Closed,Close,Internal,14.73,17.93
Neww,Pend,Broker,4.86,11.55
Offered,Close,Auction.com,9.75,8.55
Neww,Closed,Broker,12.93,29.39
Closed, Close ,Internal,6.53,29.17
 Closed,Pending,Auction.com,14.62,10.05
Reviewed,Cancel,Opendoor,5.36,7.1
 Closed,Kick, MLS,7.83,22.72
Offered,Cancelled,M L S,19.41,5.62
 Closed,Pending,M L S,18.16,17.1
Closed,Pending,Internal,16.2,26.87
 Closed,Close,Opendoor,16.26,12.8
Closed, Close ,Internal,3.1,20.43
 Closed,Kick,M L S,9.34,10.58
Cancelled,Pending,Internal,7.15,22.94
Offered,Cancelled,M L S,4.57,15.7
Closed,Closed,Opendoor,19.34,6.32
Reviewed,Pending,M L S,7.51,14.03
Reviewed,Kick, MLS,15.46,5.73
New, Close ,Auction.com,9.83,10.85
Offered,Kick,M.L.S.,5.27,9.98
Reviewed,Close,M.L.S.,14.42,18.44
Accepted Offer,Closed, MLS,13.05,13.59
 Closed,Available,M L S,18.28,17.91
Reviewed,Cancelled,Auction.com,7.35,12.94
 Closed,Always Kick,Bulk,18.68,25.6
Reviewed,Available,Auction.com,17.31,11.03
Cancelled,Kick,Auction.com,14.86,15.08
Closed,Cancel, MLS,9.35,29.23
Closed,Pending,M.L.S.,9.41,10.66
Neww,Pending,M.L.S.,4.62,19.35
Closed,Closed,Bulk,8.29,23.91
 Closed,Kick, MLS,17.51,20.62
Cancelled,Pend,M.L.S.,13.62,21.47
Reviewed,Pending,Broker,11.29,7.71
Closed,Kick, MLS,6.63,25.52
Cancelled,Available, MLS,12.9,13.96
Neww,Closed,Broker,17.68,9.98
Offered,Always Kick,Bulk,13.7,27.04
 Closed,Always Kick,M.L.S.,8.81,21.84
 Closed,Cancel,Broker,3.19,22.38
Accepted Offer,Close,Bulk,4.85,16.35
 Closed,Pending,M L S,3.11,10.35
Cancelled,Close,Bulk,8.25,9.78
 Closed,Kick,Internal,19.97,29.9
Accepted Offer,Cancel,Broker,7.7,5.72
 Closed,Available,M.L.S.,2.86,25.68
 Closed,Pend,Bulk,19.01,25.73
Accepted Offer,Always Kick,M.L.S.,17.44,14.65
Neww,Always Kick,Opendoor,18.08,12.78
Reviewed,Pend,Opendoor,17.87,19.71
 Closed,Available,Auction.com,10.36,12.94
Reviewed, Close ,Broker,18.75,7.73
Neww,Cancel,Opendoor,15.22,25.27
Reviewed,Kick,Broker,15.86,13.75
Accepted Offer,Pending,M.L.S.,8.32,12.31
Neww,Pend,Opendoor,6.73,26.8
Neww, Close ,M.L.S.,3.29,24.72
 Closed,Cancelled, MLS,7.03,12.93
 Closed,Pending,Internal,16.4,29.91
Accepted Offer,Always Kick,Auction.com,17.19,22.77
New,Cancelled, MLS,6.78,11.79
Closed,Pend,Opendoor,13.6,8.36
Neww,Pending,M L S,3.3,18.29
Closed,Close,Opendoor,7.43,11.69
 Closed,Available, MLS,13.01,27.06
Reviewed,Closed,M L S,14.43,28.58
Reviewed,Pending,M.L.S.,17.44,6.07
 Closed,Pending,Auction.com,2.77,28.14
Reviewed,Pending, MLS,2.02,14.95
Offered,Pend,Broker,8.02,14.07
Closed,Closed,Broker,7.67,14.51
Neww,Closed, MLS,19.38,23.86
Offered,Cancel,Broker,7.02,10.44
Neww,Pend,Opendoor,6.28,24.11
Neww,Always Kick,Opendoor,19.22,18.53
Accepted Offer,Pending,M L S,14.67,24.36
Accepted Offer,Always Kick,Bulk,18.86,24.3
Reviewed,Kick,M L S,16.3,23.57
 Closed,Pending,Broker,5.67,9.51
Closed,Pending,M.L.S.,4.69,10.04
Closed,Kick,M L S,11.46,7.08
Reviewed, Close ,Broker,18.71,25.21
Closed,Pend,Opendoor,3.15,12.15
Neww,Cancel,Opendoor,4.36,17.42
Accepted Offer,Pending,M L S,15.16,16.44
Cancelled,Kick,M L S,8.51,25.89
New, Close ,M L S,17.76,21.12
 Closed,Always Kick,Broker,11.85,26.37
Closed,Pending,Opendoor,15.29,11.31
 Closed,Cancelled,M.L.S.,7.64,12.21
Reviewed,Pend,Internal,15.91,14.07
 Closed,Pending,Auction.com,13.46,20.76
New,Cancel, MLS,15.6,16.05
Cancelled,Pend,Opendoor,16.65,17.41
 Closed,Available,Bulk,18.05,22.05
Cancelled, Close ,M L S,2.8200000000000003,21.71
Closed,Kick,Bulk,18.32,17.0
 Closed,Pend,Opendoor,3.2,29.89
Offered,Kick,Bulk,19.78,13.84
New,Cancelled, MLS,13.74,22.32
Neww,Close,Internal,18.77,25.34
Accepted Offer,Available,Auction.com,3.55,7.07
New,Pend,Opendoor,17.34,13.59
 Closed,Available,Bulk,19.71,29.7
 Closed,Always Kick,Broker,16.41,13.08
New,Always Kick,Internal,12.55,23.16
 Closed,Cancelled,M L S,6.69,10.79
Accepted Offer,Closed,Opendoor,5.18,18.48
New,Always Kick,Broker,7.22,28.18
 Closed,Cancelled,Bulk,16.95,21.36
New,Closed,Broker,2.48,21.98
Reviewed,Kick,M.L.S.,6.73,28.43
Neww,Cancel,M L S,9.14,21.08
Accepted Offer,Kick,Broker,6.64,10.33
Closed,Kick,Broker,18.32,6.65
Accepted Offer,Close,Bulk,6.06,13.22
Neww,Close,Opendoor,14.95,9.12
 Closed,Pend,Bulk,12.99,19.91
New,Always Kick, MLS,16.07,12.67
Cancelled,Pending,Auction.com,3.66,7.94
New,Pending,Opendoor,16.71,27.94
 Closed,Closed, MLS,15.33,24.33
Neww,Pending,Broker,2.01,11.4
 Closed,Always Kick,Opendoor,11.21,5.27
Reviewed,Pending,Auction.com,8.89,11.13
 Closed,Cancel,Opendoor,19.7,17.07
 Closed,Cancel,M.L.S.,5.97,19.32
Neww,Cancel,Internal,10.23,20.82
New,Pending,M L S,12.93,13.21
Reviewed,Pend,Auction.com,5.88,27.16
Neww,Pending,Opendoor,18.51,23.29
Closed,Pending,Bulk,12.33,22.83
New,Cancel,Broker,2.8,12.75
 Closed,Pending,M.L.S.,8.29,9.0
Offered,Pending, MLS,17.74,12.16
 Closed,Closed,Internal,17.71,15.22
New,Kick,Opendoor,12.33,27.97
Accepted Offer,Available,Broker,10.57,20.95
Reviewed,Pending,M L S,9.57,23.96
New,Closed,Bulk,4.49,26.85
Reviewed,Pend,Bulk,13.73,15.46
New,Pending,Broker,10.26,22.05
Accepted Offer,Pending,Broker,15.99,13.51
 Closed,Close,M.L.S.,17.47,18.1
 Closed, Close ,Internal,2.55,17.36
Reviewed,Kick,Opendoor,16.02,8.92
Offered, Close , MLS,2.91,7.55
Cancelled,Pending,Auction.com,16.09,12.08
Cancelled,Closed,Bulk,17.48,24.36
 Closed,Pend, MLS,8.6,19.32
 Closed, Close ,M L S,13.36,23.51
Accepted Offer,Available,M L S,19.11,18.27
 Closed,Pend,Opendoor,5.31,22.02
 Closed,Pending,Bulk,2.8200000000000003,23.91
Accepted Offer,Pending, MLS,10.73,14.88
Closed,Always Kick,M.L.S.,19.35,11.32
 Closed,Cancel, MLS,19.38,23.56
Accepted Offer,Pending,M.L.S.,5.29,8.37
Neww,Pending, MLS,7.38,21.59
 Closed,Available,Opendoor,9.09,22.13
 Closed,Available,Auction.com,19.47,6.06
 Closed,Cancel, MLS,2.89,19.76
 Closed,Pending,Internal,16.45,9.78
New,Always Kick, MLS,3.91,26.06
 Closed,Always Kick,Opendoor,11.88,14.83
New,Pending,Internal,7.87,19.76
Cancelled,Available,Opendoor,7.88,22.61
Accepted Offer,Pending,Auction.com,5.09,15.26
Neww,Closed, MLS,5.72,18.63
 Closed,Pend,Broker,4.06,28.95
New,Pending,Auction.com,13.5,13.52
Closed,Available,Opendoor,16.12,17.11
Cancelled,Pend,Bulk,6.27,15.88
Closed,Pend,M L S,6.18,18.39
Reviewed,Always Kick, MLS,6.98,26.03
Cancelled,Pend,Opendoor,16.71,7.44
 Closed,Kick,Opendoor,18.26,26.22
New,Pending,Bulk,3.23,10.11
Neww,Close,M L S,12.71,22.46
New,Pend, MLS,8.14,16.93
Neww,Always Kick,Bulk,11.36,21.08
 Closed,Cancel,Auction.com,12.63,8.78
 Closed,Pending,Bulk,8.2,12.2
New, Close ,Opendoor,5.92,12.87
 Closed,Cancelled,M L S,7.28,24.03
Cancelled, Close ,M L S,7.6,12.78
Offered,Close,M L S,8.73,14.27
Reviewed,Kick,Broker,10.66,27.01
Offered,Always Kick,M.L.S.,18.79,12.81
Closed,Always Kick,M L S,14.59,23.53
Neww,Pending,M L S,12.78,27.6
 Closed, Close , MLS,12.15,28.27
Cancelled,Cancelled, MLS,11.75,22.33
New,Available,Internal,11.68,15.44
 Closed,Pend,Broker,17.93,13.62
 Closed,Pending,Bulk,6.39,16.27
 Closed, Close ,Opendoor,10.77,19.69
 Closed,Always Kick,M.L.S.,18.88,25.11
Neww,Closed,M L S,7.79,5.14
Offered,Cancel,Broker,15.43,26.68
Neww,Kick,Internal,16.34,20.42
Cancelled,Pending,Internal,10.01,24.65
 Closed,Pending,M L S,13.81,18.75
Accepted Offer,Available,Bulk,14.53,6.41
Cancelled,Always Kick,Bulk,12.02,29.03
Accepted Offer,Close,Auction.com,3.63,5.21
Cancelled,Available,Auction.com,18.9,8.01
Closed,Pend,M.L.S.,16.53,15.09
Cancelled,Always Kick,Opendoor,11.51,13.96
Closed, Close ,Bulk,5.17,25.97
Cancelled,Cancel,Opendoor,14.56,8.68
Reviewed,Available,Bulk,10.25,14.52
Cancelled,Available,M L S,6.01,23.33
 Closed,Pending,Bulk,17.44,7.66
 Closed, Close ,Auction.com,14.56,18.29
Offered,Cancel,Bulk,8.49,17.53
 Closed,Pending,M.L.S.,14.87,7.35
Accepted Offer,Pending,Internal,6.79,19.04
New,Kick,M L S,13.46,13.2
 Closed,Available, MLS,15.92,12.73
Reviewed,Kick,M L S,19.28,27.17
Accepted Offer,Pending,Internal,5.19,20.79
New,Close,Auction.com,11.97,10.86
Closed,Pend,Internal,12.74,28.38
Closed,Available, MLS,12.49,29.72
Offered,Cancelled,M L S,13.71,14.45
 Closed,Kick,M.L.S.,12.58,10.89
 Closed, Close , MLS,6.22,24.04
Neww,Pending,Auction.com,18.6,17.73
Accepted Offer,Pending,Opendoor,5.48,7.15
New,Pend,Internal,14.13,9.56
Reviewed,Pending,Auction.com,2.32,16.42
Offered,Close,M.L.S.,11.68,18.49
 Closed,Pending,Auction.com,5.63,28.05
 Closed,Always Kick,M.L.S.,11.73,19.48
 Closed,Pending,Bulk,13.75,27.91
Closed,Closed,Auction.com,16.2,19.69
Reviewed, Close , MLS,3.65,27.23
 Closed,Pending,Bulk,19.68,20.58
Reviewed,Pending,Internal,2.27,8.48
New,Kick,Bulk,11.19,14.56
Cancelled, Close , MLS,12.56,12.77
Offered,Closed,Broker,4.88,6.68
Offered,Available, MLS,7.51,6.07
Closed,Close,Opendoor,14.76,6.14
Cancelled,Pending,M L S,12.19,25.69
 Closed,Pending,Bulk,13.66,9.78
Accepted Offer,Pend,M.L.S.,11.68,27.45
 Closed, Close ,M.L.S.,17.89,9.14
Reviewed,Pending, MLS,18.45,18.29
 Closed,Pending,Auction.com,3.43,25.08
 Closed,Cancelled, MLS,15.82,13.26
Accepted Offer,Pending,Opendoor,7.58,8.25
Reviewed,Close,Auction.com,15.25,9.0
Closed,Kick,Bulk,16.48,12.17
Neww,Closed,Broker,18.83,22.23
 Closed,Always Kick,Auction.com,6.1,13.86
 Closed,Pending,Broker,15.02,23.82
New,Pending, MLS,6.88,20.5
Closed,Kick,Internal,11.41,25.52
Reviewed,Closed,Opendoor,11.95,22.55
Offered,Pending,M L S,8.15,10.12
 Closed,Available,Internal,6.44,7.86
 Closed,Closed,Internal,3.6,6.92
Neww,Closed,M L S,7.06,17.6
New,Pend,Bulk,16.31,13.97
 Closed,Pending,M L S,4.46,6.18
 Closed,Pending,Bulk,10.22,10.72
 Closed,Cancel,Broker,11.7,16.01
Accepted Offer,Pending,M L S,17.21,17.57
 Closed,Cancel,Broker,3.05,9.51
Neww,Cancelled,M L S,12.2,29.27
New,Kick, MLS,11.09,14.95
Reviewed,Kick,M L S,6.87,24.69
New,Cancelled, MLS,14.71,25.9
Reviewed,Always Kick,Auction.com,15.65,8.93
Accepted Offer,Pending,Bulk,14.83,27.9
 Closed,Pend,Auction.com,19.1,18.04
 Closed,Cancelled,Auction.com,16.71,14.81
 Closed,Kick,Opendoor,10.74,25.18
New,Pending,Opendoor,8.19,15.21
Closed,Cancelled,M L S,18.56,27.88
Cancelled,Pending, MLS,2.45,6.76
New,Pend,Bulk,8.53,13.06
Cancelled,Pending,Opendoor,8.96,27.26
Accepted Offer,Pending,M L S,18.94,15.14
Closed,Pending,M.L.S.,14.94,17.23
Reviewed, Close ,Internal,18.98,11.04
New,Cancelled,Internal,10.02,23.84
Accepted Offer,Close,M L S,2.12,10.32
 Closed,Close,M.L.S.,15.37,26.88
 Closed,Pend,M L S,9.63,8.37
Neww,Pending, MLS,14.39,17.32
Closed,Cancel,M.L.S.,12.24,24.11
 Closed,Close,M.L.S.,16.04,20.57
Neww,Closed, MLS,7.71,29.95
Closed, Close ,Opendoor,2.16,21.12
 Closed,Close,M.L.S.,7.55,18.95
Offered,Available,Opendoor,17.41,16.16
Cancelled, Close ,Opendoor,9.9,27.14
New,Available,Internal,17.57,17.19
Accepted Offer,Cancel,Opendoor,15.92,25.23
Neww,Close,Opendoor,5.92,11.9
Accepted Offer,Close,M.L.S.,8.73,27.74
Accepted Offer,Pending,Bulk,13.09,29.34
 Closed,Cancel,Bulk,3.48,11.25
Closed,Close,Bulk,14.37,26.07
Neww,Pending, MLS,12.28,11.24
 Closed,Closed,Auction.com,17.24,14.03
New, Close ,Broker,10.73,27.43
Neww,Close,Broker,9.41,19.62
 Closed,Pending, MLS,14.65,8.36
Neww,Kick, MLS,18.34,16.25
New,Always Kick,M.L.S.,18.47,8.07
 Closed,Pending,Internal,10.38,13.43
New,Pending,Internal,13.1,18.0
Accepted Offer,Pending,Bulk,5.55,28.89
 Closed,Kick,Broker,17.42,11.23
Offered,Close,Auction.com,7.39,11.01
Accepted Offer,Closed,Opendoor,17.55,29.61
Reviewed,Kick,Opendoor,9.81,7.37
New,Available,Broker,12.15,12.41
 Closed, Close ,Internal,9.89,22.87
Reviewed,Pending, MLS,3.44,13.61
Reviewed, Close ,Auction.com,10.94,14.61
Neww,Cancel,Bulk,11.42,11.44
 Closed,Pend,Broker,5.77,10.27
Offered,Pend,M.L.S.,2.39,8.9
 Closed,Cancel,Opendoor,3.31,26.67
Closed,Available,Opendoor,18.14,9.22
Closed,Pend,Broker,4.49,10.95
Reviewed,Close,Broker,7.48,19.32
New,Cancelled,M.L.S.,9.35,26.24
Neww,Available,Internal,7.86,16.05
 Closed,Pend,Internal,17.36,20.69
 Closed,Cancelled,M L S,9.13,10.8
Closed,Closed,Internal,15.33,28.73
 Closed,Cancelled,Opendoor,7.35,15.27
Neww,Pending,Auction.com,15.45,10.12
 Closed,Pend,Opendoor,19.85,14.01
 Closed,Cancelled,Opendoor,6.83,15.69
Reviewed,Close,Opendoor,8.85,29.94
 Closed,Pend,Internal,8.8,11.2
Reviewed,Close,M.L.S.,8.57,9.39
 Closed,Cancel,Auction.com,13.34,21.25
New,Pending,Broker,10.86,17.13
 Closed,Always Kick,Internal,17.92,14.51
 Closed,Kick,M.L.S.,18.8,19.47
Cancelled,Close,M.L.S.,15.37,26.27
Closed,Cancel,M.L.S.,16.0,9.76
 Closed,Pending,Broker,7.75,18.01
Accepted Offer,Close,Internal,9.07,24.79
Reviewed,Cancelled,M L S,5.85,6.35
Reviewed,Pending, MLS,5.57,17.88
 Closed,Pending,M L S,10.79,12.6
 Closed,Pending,Bulk,6.17,24.14
Cancelled,Closed,Internal,3.94,29.6
Closed,Pending, MLS,5.58,10.17
 Closed,Kick,M L S,5.45,5.49
 Closed,Available,Opendoor,17.42,5.63
Accepted Offer,Pending,M L S,14.48,11.66
 Closed,Pending,Opendoor,5.77,11.13
Offered, Close ,Opendoor,9.41,18.42
Reviewed,Close,Bulk,17.39,12.16
New,Cancelled,M L S,10.48,11.98
Neww,Cancel,Broker,4.66,13.35
Accepted Offer,Cancelled,M L S,7.64,11.17
Closed,Pending, MLS,18.73,10.96
Offered,Cancel,M.L.S.,18.17,21.78
 Closed,Pending,Opendoor,12.98,11.67
Closed,Pending,Opendoor,17.2,22.72
New,Close,Auction.com,8.74,13.93
Closed,Pending,Bulk,18.74,20.43
Offered,Kick,M L S,6.61,24.87
Accepted Offer,Pending, MLS,4.91,17.41
Cancelled,Pending,Broker,5.15,13.03
Cancelled,Pend,Opendoor,9.6,11.35
 Closed, Close , MLS,9.42,9.05
Closed,Pend,Internal,12.9,6.06
 Closed,Kick, MLS,5.87,17.63
 Closed,Kick,Internal,5.67,15.94
Offered,Pend,Bulk,18.75,14.69
Reviewed,Cancel,Broker,4.14,13.82
Reviewed,Pend,Auction.com,9.46,22.3
 Closed,Pending,Internal,15.53,16.25
Accepted Offer,Pending,Internal,19.75,26.83
Closed,Cancelled,M.L.S.,14.11,9.7
Reviewed,Pending,M L S,16.76,19.01
Reviewed,Pending,M L S,9.36,23.38
 Closed,Kick, MLS,6.35,24.53
Cancelled,Pending,M.L.S.,5.89,6.3
Closed,Pending,Bulk,10.63,27.08
 Closed,Cancelled,Bulk,15.63,5.66
 Closed,Close,Opendoor,19.8,19.01
Cancelled,Pend,Auction.com,6.61,7.08
 Closed,Pending,Auction.com,19.49,25.21
 Closed,Pending,Internal,11.91,26.27
Offered,Always Kick,Internal,6.57,16.25
